dialog,image,k,blur,line,tamil_dialog
“Welcome to Boston! Four Students. One dream. Endless chai.” — Welcome,Panel001.jpeg,5,3,5,'பாஸ்டனுக்கு வரவேற்கிறோம்! நான்கு மாணவர்கள். ஒரு கனவு. முடிவற்ற சாய்.'
We’ll have an office there one day! The world will see our brilliance!,Panel002.jpeg,9,3,5,'ஒரு நாள் அங்கே அலுவலகம் வைப்போம்! உலகம் நம் பிரகாசத்தைக் காணும்!'
Or maybe they’ll just see my Bollywood DVD business first.,Panel003.jpeg,9,3,5,'அல்லது எனது பாலிவுட் டிவிடி வணிகத்தை அவர்கள் முதலில் பார்ப்பார்கள்.'
"Dev, you’re going to get us all deported!",Panel004.jpeg,7,3,5,"'தேவ், நீங்கள் எங்களையெல்லாம் நாடு கடத்தப் போகிறீர்கள்!'"
Enough about DVDs! We should be fighting for immigrant rights!,Panel005.jpeg,7,3,5,'டிவிடிகளைப் பற்றி போதும்! புலம்பெயர்ந்தோரின் உரிமைகளுக்காக நாம் போராட வேண்டும்!'
"Relax, Karan! You’ll scare the chai away.",Panel006.jpeg,5,3,5,'ரிலாக்ஸ் கரண்! நீங்கள் சாயை பயமுறுத்துவீர்கள்'
"Chai solves everything. Family expectations, homework, cultural confusion.",Panel007.jpeg,9,3,5,"'சாய் எல்லாவற்றையும் தீர்க்கிறது. குடும்ப எதிர்பார்ப்புகள், வீட்டுப்பாடம், கலாச்சார குழப்பம்'"
Don’t worry! We have enough for everyone!,Panel008.jpeg,9,3,5,"'சாய் எல்லாவற்றையும் தீர்க்கிறது. குடும்ப எதிர்பார்ப்புகள், வீட்டுப்பாடம், கலாச்சார குழப்பம்'"
"And with enough chai, we’ll conquer the world!",Panel009.jpeg,9,3,5,"'போதுமான சாயுடன், நாங்கள் உலகை வெல்வோம்!'"
"“They may not have it all figured out, but they sure have a great chai.” ",Panel010.jpeg,7,3,5,"'அவர்கள் எல்லாவற்றையும் கண்டுபிடித்திருக்க மாட்டார்கள், ஆனால் அவர்கள் நிச்சயமாக ஒரு சிறந்த சாய் வைத்திருப்பார்கள்.'"
Akash Arokianathan - 002326715,Panel011.jpeg,12,3,5,Akash Arokianathan - 002326715